product_id,product_name,actual_price,discounted_price,discounted_amount,discount_percentage,category,subcategory,rating,rating_count,ranking
B08Y5QJXSR,atomberg Renesa 1200mm BLDC Motor with Remote 3 Blade Energy Saving Ceiling Fan (Matt Black),62.28,42.83,19.450000000000003,0.31,Home & Kitchen,"Heating, Cooling & Air Quality",4.3,28629.0,Very Good
B07WJXCTG9,"Pigeon by Stovekraft Amaze Plus Electric Kettle (14313) with Stainless Steel Body, 1.8 litre, used for boiling Water, making tea and coffee, instant noodles, soup etc. 1500 Watt (Silver)",16.14,8.39,7.75,0.48,Home & Kitchen,Kitchen & Home Appliances,3.9,8446.0,Good
B09NBZ36F7,Usha CookJoy (CJ1600WPC) 1600 Watt Induction cooktop (Black),48.0,25.07,22.93,0.48,Home & Kitchen,Kitchen & Home Appliances,4.2,11199.0,Very Good
B0912WJ87V,"Reffair AX30 [MAX] Portable Air Purifier for Car, Home & Office | Smart Ionizer Function | H13 Grade True HEPA Filter [Internationally Tested] Aromabuds Fragrance Option - Black",48.0,28.07,19.93,0.42,Car & Motorbike,Car Accessories,3.8,1118.0,Good
B0BMTZ4T1D,!!1000 Watt/2000-Watt Room Heater!! Fan Heater!!Pure White!!HN-2500!!Made in India!!,19.19,9.41,9.780000000000001,0.51,Home & Kitchen,"Heating, Cooling & Air Quality",4.5,11.0,Very Good
B07Z51CGGH,"Eureka Forbes Wet & Dry Ultimo 1400 Watts Multipurpose Vacuum Cleaner,Power Suction & Blower with 20 litres Tank Capacity,6 Accessories,1 Year Warranty,Compact,Light Weight & Easy to use (Red)",119.99,65.99,54.0,0.45,Home & Kitchen,Kitchen & Home Appliances,3.8,4353.0,Good
B0BDG6QDYD,Activa Heat-Max 2000 Watts Room Heater (White color ) with ABS body,23.88,10.79,13.09,0.55,Home & Kitchen,"Heating, Cooling & Air Quality",4.1,185.0,Very Good
B00YQLG7GK,"PHILIPS HL1655/00 Hand Blender, White Jar 250W",20.34,20.34,0.0,0.0,Home & Kitchen,Kitchen & Home Appliances,4.2,14290.0,Very Good
B00SMJPA9C,"Bajaj DX-2 600W Dry Iron with Advance Soleplate and Anti-Bacterial German Coating Technology, Grey",11.28,5.99,5.289999999999999,0.47,Home & Kitchen,Kitchen & Home Appliances,4.1,3036.0,Very Good
B0B9RN5X8B,V-Guard Zio Instant Water Geyser | 3 Litre | 3000 W Heating | White-Blue | | 2 Year Warranty,56.4,32.39,24.009999999999998,0.43,Home & Kitchen,"Heating, Cooling & Air Quality",4.2,1296.0,Very Good
B08QW937WV,Homeistic Applience™ Instant Electric Water Heater Faucet Tap For Kitchen And Bathroom Sink Digital Water Heating Tap with Shower Head ABS Body- Shock Proof (Pack Of 1. White),35.99,17.38,18.610000000000003,0.52,Home & Kitchen,"Heating, Cooling & Air Quality",4.5,19.0,Very Good
B0B4PPD89B,"Kitchenwell 18Pc Plastic Food Snack Bag Pouch Clip Sealer for Keeping Food Fresh for Home, Kitchen, Camping Snack Seal Sealing Bag Clips (Multi-Color) | (Pack of 18)|",0.95,0.95,0.0,0.0,Home & Kitchen,Kitchen & Home Appliances,4.0,97.0,Very Good
B08GM5S4CQ,Havells Instanio 10 Litre Storage Water Heater with Flexi Pipe and Free installation (White Blue),171.48,83.88,87.6,0.51,Home & Kitchen,"Heating, Cooling & Air Quality",4.4,1771.0,Very Good
B00NM6MO26,Prestige PIC 16.0+ 1900W Induction Cooktop with Soft Touch Push Buttons (Black),47.34,32.38,14.96,0.32,Home & Kitchen,Kitchen & Home Appliances,4.0,15034.0,Very Good
B083M7WPZD,"AGARO 33398 Rapid 1000-Watt, 10-Litre Wet & Dry Vacuum Cleaner, with Blower Function (Red & Black)",71.99,38.39,33.599999999999994,0.47,Home & Kitchen,Kitchen & Home Appliances,4.0,3242.0,Very Good
B07GLSKXS1,KENT 16026 Electric Kettle Stainless Steel 1.8 L | 1500W | Superfast Boiling | Auto Shut-Off | Boil Dry Protection | 360° Rotating Base | Water Level Indicator,23.4,14.39,9.009999999999998,0.39,Home & Kitchen,Kitchen & Home Appliances,3.9,2832.0,Good
B09F6KL23R,"SKYTONE Stainless Steel Electric Meat Grinders with Bowl 700W Heavy for Kitchen Food Chopper, Meat, Vegetables, Onion , Garlic Slicer Dicer, Fruit & Nuts Blender (2L, 700 Watts)",33.59,16.97,16.620000000000005,0.49,Home & Kitchen,Kitchen & Home Appliances,4.0,1498.0,Very Good
B094G9L9LT,KENT 16088 Vogue Electric Kettle 1.8 Litre 1500 W | Stainless Steel body | Auto shut off over heating protection | 1 Year Warranty,23.4,11.99,11.409999999999998,0.49,Home & Kitchen,Kitchen & Home Appliances,3.8,305.0,Good
